,depth,temp,salinity
0,0,1.854287326535264,33.74363711879776
1,2,1.854287326535264,33.74363711879776
2,4,1.854287326535264,33.74363711879776
3,6,1.854287326535264,33.74363711879776
4,8,1.912468350155426,33.77296890190129
5,10,1.9730863679870292,33.8031452111882
6,12,2.055444274837476,33.84216801675177
7,14,2.1454846661086493,33.88387531932526
8,16,2.232128301357375,33.92442385042552
9,18,2.3143511791790052,33.96268789532145
10,20,2.4016979904265012,34.00021731250974
11,22,2.4829488347060074,34.033016010625246
12,24,2.5868443578469527,34.068901835855605
13,26,2.7209698223795464,34.111989636600846
14,28,2.876725369117,34.16036176616493
15,30,3.0358125767665114,34.2076003346024
16,32,3.1999997387284695,34.25546167615975
17,34,3.345767547444332,34.298648926147344
18,36,3.4752944798807404,34.33674332075972
19,38,3.583021540502257,34.3677647889292
20,40,3.660219748730624,34.39076843627063
21,42,3.7197735205849107,34.40932399802855
22,44,3.769981815625572,34.4261000973409
23,46,3.806476191271777,34.440202186010076
24,48,3.8379019294110766,34.45390660759559
25,50,3.8772713663397327,34.47034456872982
26,52,3.922583635762927,34.489817114670146
27,54,3.959979439438632,34.507661527481
28,56,3.994826556719574,34.524401814843785
29,58,4.0277278434990125,34.540601557346925
30,60,4.054382118110645,34.55492381175456
31,62,4.071514380191376,34.5654191234871
32,64,4.080522982502993,34.57373927629505
33,66,4.085169713649652,34.581108591244046
34,68,4.087790748568053,34.58784994523582
35,70,4.089274793626055,34.5940379864329
36,72,4.08963517868237,34.59863118841971
37,74,4.099026326852466,34.60484267335513
38,76,4.109564466199668,34.61079786961403
39,78,4.1185458073463215,34.61549918785048
40,80,4.126062906944377,34.61885297767854
41,82,4.1340198975654285,34.622683395165986
42,84,4.1456978449708375,34.62696869195932
43,86,4.1621347704731075,34.632255903336635
44,88,4.180248920568774,34.638585507525114
45,90,,
46,92,,
