,depth,temp,salinity
0,0.0,2.359237314838157,33.99712447570141
1,0.5,2.359237314838157,33.99712447570141
2,1.0,2.359237314838157,33.99712447570141
3,1.5,2.359237314838157,33.99712447570141
4,2.0,2.359237314838157,33.99712447570141
5,2.5,2.359237314838157,33.99712447570141
6,3.0,2.359237314838157,33.99712447570141
7,3.5,2.359237314838157,33.99712447570141
8,4.0,2.359237314838157,33.99712447570141
9,4.5,2.359237314838157,33.99712447570141
10,5.0,2.359237314838157,33.99712447570141
11,5.5,2.359237314838157,33.99712447570141
12,6.0,2.359237314838157,33.99712447570141
13,6.5,2.359237314838157,33.99712447570141
14,7.0,2.3595000970172095,33.99720357863856
15,7.5,2.3740402678032266,34.00158047443885
16,8.0,2.3884722163667194,34.00592425620434
17,8.5,2.3968554325262867,34.00841723569798
18,9.0,2.4052461744700615,34.01091284922011
19,9.5,2.414069968398735,34.01356003116754
20,10.0,2.422905745668937,34.01621109054312
21,10.5,2.43245203621675,34.01909204941546
22,11.0,2.4420190374112805,34.02197788762223
23,11.5,2.4528524702245984,34.0251620913739
24,12.0,2.463723118573033,34.02835602161418
25,12.5,2.476942957704495,34.03216392602687
26,13.0,2.4901930795593916,34.035980386150506
27,13.5,2.505418503988849,34.04035492414658
28,14.0,2.5206528748405326,34.044731933276594
29,14.5,2.5364909173847097,34.04927568544413
30,15.0,2.5523550273383417,34.05382639589586
31,15.5,2.570040776605358,34.05886336425828
32,16.0,2.5877364677536145,34.06390438675988
33,16.5,2.6061525732645543,34.069239182645454
34,17.0,2.6245767626913805,34.074576666498025
35,17.5,2.6436091722902004,34.0801163884455
36,18.0,2.6626568458796953,34.08566024798677
37,18.5,2.682898652530454,34.09152779991431
38,19.0,2.7031555839830106,34.097399060415334
39,19.5,2.724644740385829,34.103572460200674
40,20.0,2.7461397397709506,34.109746523143585
41,20.5,2.768131304701963,34.11597694449795
42,21.0,2.790133517973619,34.12220984438687
43,21.5,2.8130814346418958,34.12866286857813
44,22.0,2.8360334694885223,34.135117356115835
45,22.5,2.859368479287743,34.14170792931682
46,23.0,2.8827061173304442,34.14829996602949
47,23.5,2.906300243010179,34.155034825375
48,24.0,2.9298975812533126,34.16177226160595
49,24.5,2.953824700892227,34.168774224563485
50,25.0,2.9777360993493764,34.17577364267488
51,25.5,2.9999454146978173,34.18249753826529
52,26.0,3.0221470667235133,34.18921997972003
53,26.5,3.0434710933337277,34.19577588944146
54,27.0,3.064786622237209,34.20232948230135
55,27.5,3.0850693512778604,34.20860148692193
56,28.0,3.105346582743823,34.2148717665523
57,28.5,3.1249120886319255,34.220918725950455
58,29.0,3.144469307618287,34.22696374021192
59,29.5,3.162878954584161,34.232739391506676
60,30.0,3.181279223002781,34.23851291089998
61,30.5,3.1982836057603037,34.243969122015905
62,31.0,3.2152814688877354,34.249423677944634
63,31.5,3.2312305982260816,34.25461198399257
64,32.0,3.247171596893535,34.25979855324988
65,32.5,3.2616899382777342,34.26468122903297
66,33.0,3.276191386695816,34.269560034123025
67,33.5,3.287452967100184,34.27369648677684
68,34.0,3.2987075353333295,34.27783071863774
69,34.5,3.308474441441103,34.28149379977999
70,35.0,3.3182351413109843,34.28515490410054
71,35.5,3.326522903195367,34.288346845651034
72,36.0,3.3348046641508766,34.29153711716031
73,36.5,3.3414706509506256,34.29427772337457
74,37.0,3.3481316259655376,34.297016981009044
75,37.5,3.3532336855484286,34.299336762964415
76,38.0,3.3583309600861635,34.30165522356158
77,38.5,3.361666673545475,34.303487240851666
78,39.0,3.3650023363073425,34.30531925960383
79,39.5,3.368315144986412,34.30715193745323
80,40.0,3.3716241831098763,34.30898366069217
81,40.5,3.3727419913736867,34.310260619289636
82,41.0,3.373860028410477,34.311537547945484
83,41.5,3.3751650202422403,34.312790008109694
84,42.0,3.376470395286813,34.31404245394185
85,42.5,3.3783028087857465,34.315275188671485
86,43.0,3.3801357391687206,34.316507998242486
87,43.5,3.384206034773532,34.31806476341262
88,44.0,3.3882763303783427,34.31962152858276
89,44.5,3.39326978958258,34.321282803260694
90,45.0,3.398263493155017,34.32294410560307
91,45.5,3.403448476366614,34.324707554191
92,46.0,3.408633605108201,34.32647108049417
93,46.5,3.4134140372972888,34.3282178436652
94,47.0,3.4181939606082072,34.32996458575774
95,47.5,3.4235943600089445,34.33178600006903
96,48.0,3.4289958480553215,34.33360754539516
97,48.5,3.4354708732568198,34.33554874640628
98,49.0,3.441948316201364,34.337490216897315
99,49.5,3.4476388551062804,34.339128339525885
100,50.0,3.453327229853758,34.34076562788179
101,50.5,3.460849381330618,34.34283777034905
102,51.0,3.468377490386462,34.344911325571566
103,51.5,3.475526494250919,34.34692323301546
104,52.0,3.482674077273117,34.34893490941062
105,52.5,3.489331527328535,34.350914570172066
106,53.0,3.495986895562861,34.35289409494832
107,53.5,3.502674632727988,34.35498300617447
108,54.0,3.5093625235658235,34.357072436716884
109,54.5,3.5158742913533994,34.35914904979593
110,55.0,3.522385134827638,34.3612255956075
111,55.5,3.529669279756119,34.36340756705231
112,56.0,3.5369578705368725,34.365590144608475
113,56.5,3.5455165093873813,34.368165421531586
114,57.0,3.554083086999075,34.370743153122795
115,57.5,3.5642498119664126,34.37377068935053
116,58.0,3.5744273424561026,34.3768012630323
117,58.5,3.585891506551978,34.38015021307153
118,59.0,3.597365005694355,34.38350147305983
119,59.5,3.611452701944054,34.38738667460462
120,60.0,3.6255606803905045,34.391276018724454
121,60.5,3.6417847256242912,34.395677495422916
122,61.0,3.6580262539276944,34.4000832033912
123,61.5,3.6765361300981696,34.40507921060477
