,Latitude,Longitude,Date,Time,Depth,SA,CT
0,78.257,15.5266,2011-12-14 12:05:34,20111214,0.9894772554964003,34.4786045500381,0.8461316945012938
1,78.257,15.5266,2011-12-14 12:05:34,20111214,1.978949706046399,34.45349039926934,0.846727807461153
2,78.257,15.5266,2011-12-14 12:05:34,20111214,2.968417351798294,34.463543121884605,0.8441321684078015
3,78.257,15.5266,2011-12-14 12:05:34,20111214,3.957880192900378,34.47359584744092,0.8435358534581344
4,78.257,15.5266,2011-12-14 12:05:34,20111214,4.947338229500942,34.458529368059516,0.8465760191363114
5,78.257,15.5266,2011-12-14 12:05:34,20111214,5.936791461748268,34.478629780443605,0.8529217523184575
6,78.257,15.5266,2011-12-14 12:05:34,20111214,6.926239889790639,34.473610983478444,0.8549070633015391
7,78.257,15.5266,2011-12-14 12:05:34,20111214,7.915683513776336,34.466884078157044,0.8547326048750742
8,78.257,15.5266,2011-12-14 12:05:34,20111214,8.905122333853624,34.47362107417014,0.8538242597419442
9,78.257,15.5266,2011-12-14 12:05:34,20111214,9.894556350170774,34.46860227426393,0.8543101137478729
10,78.257,15.5266,2011-12-14 12:05:34,20111214,10.88398556287605,34.47361843956155,0.8549105801036128
11,78.257,15.5266,2011-12-14 12:05:34,20111214,11.873409972117715,34.48365844563439,0.8541438560381361
12,78.257,15.5266,2011-12-14 12:05:34,20111214,12.862829578044023,34.47862692154712,0.853130390646302
13,78.257,15.5266,2011-12-14 12:05:34,20111214,13.85224438080322,34.466863453059425,0.8534834640411059
14,78.257,15.5266,2011-12-14 12:05:34,20111214,14.841654380543565,34.47358771974382,0.8525750681884718
15,78.257,15.5266,2011-12-14 12:05:34,20111214,15.83105957741329,34.463532362715696,0.8527587851895804
16,78.257,15.5266,2011-12-14 12:05:34,20111214,16.820459971560634,34.468548522417315,0.8520197151219463
17,78.257,15.5266,2011-12-14 12:05:34,20111214,17.80985556313384,34.47024894792356,0.852968137410587
18,78.257,15.5266,2011-12-14 12:05:34,20111214,18.79924635228113,34.473556999926096,0.858405431852933
19,78.257,15.5266,2011-12-14 12:05:34,20111214,19.788632339150737,34.47354931997166,0.8591932456808324
20,78.257,15.5266,2011-12-14 12:05:34,20111214,20.778013523890888,34.47355628370021,0.8623197639360465
21,78.257,15.5266,2011-12-14 12:05:34,20111214,21.76738990664978,34.47858708351845,0.8612504996969463
22,78.257,15.5266,2011-12-14 12:05:34,20111214,22.756761487575638,34.470254478668345,0.8607550611458894
23,78.257,15.5266,2011-12-14 12:05:34,20111214,23.746128266816687,34.468553336766526,0.8672191865789489
24,78.257,15.5266,2011-12-14 12:05:34,20111214,24.735490244521106,34.47860797774859,0.8681207817406239
25,78.257,15.5266,2011-12-14 12:05:34,20111214,25.724847420837108,34.468567262193986,0.8666354110617908
26,78.257,15.5266,2011-12-14 12:05:34,20111214,26.71419979591289,34.47359806607154,0.8690640387900618
27,78.257,15.5266,2011-12-14 12:05:34,20111214,27.70354736989665,34.463557345442815,0.8750745573098067
28,78.257,15.5266,2011-12-14 12:05:34,20111214,28.692890142936562,34.48365967991556,0.8654259351880628
29,78.257,15.5266,2011-12-14 12:05:34,20111214,29.682228115180816,34.48869048988206,0.8658555427592165
30,78.257,15.5266,2011-12-14 12:05:34,20111214,30.671561286777603,34.48367525477479,0.8738365148596146
31,78.257,15.5266,2011-12-14 12:05:34,20111214,31.66088965787509,34.47363617044228,0.8753494650827465
32,78.257,15.5266,2011-12-14 12:05:34,20111214,32.65021322862144,34.478668625005824,0.8772779204946433
33,78.257,15.5266,2011-12-14 12:05:34,20111214,33.63953199916483,34.45355798672639,0.8808739428642683
34,78.257,15.5266,2011-12-14 12:05:34,20111214,34.628845969653426,34.47366199021992,0.886215773406024
35,78.257,15.5266,2011-12-14 12:05:34,20111214,35.61815514023537,34.473670596812454,0.8876724219766642
36,78.257,15.5266,2011-12-14 12:05:34,20111214,36.607459511058835,34.473679203405,0.8976235599989023
37,78.257,15.5266,2011-12-14 12:05:34,20111214,37.59675908227197,34.473687809997536,0.9100728804116873
38,78.257,15.5266,2011-12-14 12:05:34,20111214,38.586053854022914,34.493791838575845,0.9059194378242688
39,78.257,15.5266,2011-12-14 12:05:34,20111214,39.57534382645981,34.48375273668398,0.9049341804205836
40,78.257,15.5266,2011-12-14 12:05:34,20111214,40.5646289997308,34.46868446028319,0.9139705833317531
41,78.257,15.5266,2011-12-14 12:05:34,20111214,41.55390937398401,34.46868775413446,0.932914985407079
42,78.257,15.5266,2011-12-14 12:05:34,20111214,42.543184949367564,34.48878648074946,0.9707305400263958
43,78.257,15.5266,2011-12-14 12:05:34,20111214,43.53245572602961,34.51059332315325,1.0078336458705837
44,78.257,15.5266,2011-12-14 12:05:34,20111214,44.52172170411825,34.51391236804813,1.0279551951220869
45,78.257,15.5266,2011-12-14 12:05:34,20111214,45.5109828837816,34.47874864880187,1.1065598904027627
46,78.257,15.5266,2011-12-14 12:05:34,20111214,46.50023926516778,34.508895104280896,1.1612932048928992
47,78.257,15.5266,2011-12-14 12:05:34,20111214,47.48949084842491,34.53070195693927,1.1900927416765084
48,78.257,15.5266,2011-12-14 12:05:34,20111214,48.478737633701066,34.5340210050219,1.2140073539525378
49,78.257,15.5266,2011-12-14 12:05:34,20111214,49.467979621144366,34.52397658201122,1.2295106582853421
50,78.257,15.5266,2011-12-14 12:05:34,20111214,50.45721681090289,34.53402725867707,1.24938627319889
51,78.257,15.5266,2011-12-14 12:05:34,20111214,51.446449203124764,34.53071446304874,1.265846920219936
